channel,status,latitude,longitude,elevation
0,bad,,,
1,bad,,,
2,bad,,,
3,bad,,,
4,bad,,,
5,bad,,,
6,bad,,,
7,bad,,,
8,bad,,,
9,bad,,,
10,bad,,,
11,bad,,,
12,bad,,,
13,bad,,,
14,bad,,,
15,bad,,,
16,bad,,,
17,bad,,,
18,good,35.64503412690253,-117.66792075770094,692.27
19,good,35.644944008577845,-117.66792245350815,692.27
20,good,35.64485389025316,-117.66792414931538,692.27
21,good,35.644764933822195,-117.66793762583846,692.27
22,good,35.64467707925303,-117.66796227439933,692.37
23,good,35.644580439226935,-117.66798938781629,692.37
24,good,35.64449258465776,-117.66801403637717,692.37
25,good,35.64440473008859,-117.66803868493804,692.37
26,good,35.64432310179902,-117.66807535485646,692.48
27,good,35.64426747966491,-117.66816223602672,692.47
28,good,35.64420629531739,-117.66825780531401,692.47
29,good,35.644150673183276,-117.66834468648429,692.57
30,good,35.64414746377329,-117.66844285460225,692.57
31,good,35.64417556656149,-117.66854776572298,692.57
32,good,35.64420366934969,-117.6686526768437,692.57
33,good,35.644234582416715,-117.6687680790765,692.57
34,good,35.64424594193644,-117.66887691094787,692.57
35,good,35.64425140335351,-117.66898712397071,692.58
36,good,35.644256864770576,-117.66909733699354,692.65
37,good,35.64426287232936,-117.66921857131867,692.57
38,good,35.64426135101687,-117.66932834083458,692.61
39,good,35.64424661565648,-117.66943727106239,692.68
40,good,35.644231880296076,-117.66954620129022,692.68
41,good,35.644184561939255,-117.66960968756422,692.68
42,good,35.644085480497026,-117.66961392733393,692.7
43,good,35.643995406458636,-117.66961778167004,692.81
44,good,35.6439053010874,-117.66961935852856,693.01
45,good,35.643815172180545,-117.66961922466251,693.22
46,good,35.64372504327369,-117.66961909079647,693.41
47,good,35.64362590147614,-117.66961894354382,693.62
48,good,35.64353577256929,-117.66961880967779,693.83
49,good,35.64344564365789,-117.66961867581173,694.03
50,good,35.64335551474428,-117.66961854194568,694.24
51,good,35.64326538583067,-117.66961840807963,694.4
52,good,35.64316624402569,-117.66961826082698,694.54
53,good,35.64307611511208,-117.66961812696093,694.74
54,good,35.64298598619273,-117.66961799309708,694.99
55,good,35.642895857271675,-117.6696178592339,695.3
56,good,35.64280572835062,-117.6696177253707,695.62
57,good,35.64270658653747,-117.66961757812119,695.89
58,good,35.64261645761642,-117.669617444258,696.02
59,good,35.64252632869537,-117.6696173103948,696.18
60,good,35.642436199768134,-117.66961717505183,696.38
61,good,35.64233705794718,-117.66961702593659,696.66
62,good,35.64224692901904,-117.66961689037728,696.9
63,good,35.642156800090895,-117.66961675481797,697.11
64,good,35.64206667116275,-117.66961661925866,697.32
65,good,35.64197654223461,-117.66961648369936,697.44
66,good,35.64187740989971,-117.66961677746549,697.61
67,good,35.64178741080598,-117.66962270356551,697.82
68,good,35.64169741171225,-117.66962862966551,698.11
69,good,35.64160741261852,-117.66963455576553,698.26
70,good,35.641517413524795,-117.66964048186554,698.36
71,good,35.64141841452169,-117.66964700057555,698.55
72,good,35.641328415427964,-117.66965292667557,698.75
73,good,35.64123841633423,-117.66965885277557,698.76
74,good,35.6411484172405,-117.66966477887559,698.76
75,good,35.641058385343115,-117.66966986348014,698.76
76,good,35.640959329712864,-117.66967492956266,698.76
77,good,35.6408692791399,-117.66967953509223,698.65
78,good,35.64077922856694,-117.6696841406218,698.35
79,good,35.640689177993984,-117.66968874615137,698.16
80,good,35.640590122363726,-117.66969381223389,698.03
81,good,35.640500001806956,-117.66969420147609,697.82
82,good,35.6404098728329,-117.66969408360565,697.63
83,good,35.640319743858846,-117.66969396573519,697.44
84,good,35.640229614884795,-117.66969384786475,697.32
85,good,35.64013047301333,-117.66969371820726,697.17
86,good,35.64004034403928,-117.66969360033681,697.15
87,good,35.63995021506523,-117.66969348246637,697.08
88,good,35.63986008608362,-117.66969336759546,697.04
89,good,35.63976995709428,-117.66969325580565,696.98
90,good,35.639670815205996,-117.66969313283685,696.97
91,good,35.63958068621665,-117.66969302104705,696.97
92,good,35.6394905572273,-117.66969290925724,696.97
93,good,35.63940042823795,-117.66969279746743,697.02
94,good,35.6393102992486,-117.66969268567762,697.12
95,good,35.63921115735284,-117.6696925709463,697.21
96,good,35.639121028324915,-117.6696925016289,697.44
97,good,35.639030899297,-117.66969243231152,697.69
98,good,35.63894077026908,-117.66969236299413,697.89
99,good,35.638850641241156,-117.66969229367675,698.16
100,good,35.638751499310445,-117.66969221742762,698.47
101,good,35.63866137028253,-117.66969214811023,698.71
102,good,35.6385712412546,-117.66969207879285,698.91
103,good,35.63848111233542,-117.6696922319486,699.21
104,good,35.63838197055523,-117.66969246367624,699.41
105,good,35.63829184166415,-117.66969267433774,699.88
106,good,35.63820171277307,-117.66969288499922,700.2
107,good,35.63811158388199,-117.66969309566072,700.24
108,good,35.638021454990906,-117.6696933063222,700.26
109,good,35.63798540343447,-117.6696933905868,700.26
110,good,35.637958364767655,-117.66969345463217,700.26
111,good,35.63792231321337,-117.66969354245616,700.26
112,good,35.63789527454766,-117.66969360832417,700.26
113,good,35.63786823588195,-117.66969367419217,700.26
114,good,35.63783218432767,-117.66969376201617,700.26
115,good,35.63774205544196,-117.66969398157617,700.26
116,good,35.63765192655625,-117.66969420113618,700.26
117,good,35.63756179767054,-117.66969442069619,700.22
118,good,35.637462655896265,-117.6696946622122,700.09
119,good,35.6373725270127,-117.66969488351636,699.82
120,good,35.63728239814935,-117.66969512129347,699.44
121,good,35.637192269286004,-117.66969535907059,699.16
122,good,35.63710214042265,-117.6696955968477,698.93
123,good,35.63700299867297,-117.66969585840253,698.73
124,good,35.63691286980961,-117.66969609617965,698.52
125,good,35.636822740977415,-117.66969634986741,698.24
126,good,35.63673261227279,-117.669696668711,698.02
127,good,35.63663347069769,-117.66969701943894,698.03
128,good,35.63654334199306,-117.66969733828255,698.1
129,good,35.636453213288426,-117.66969765712614,698.36
130,good,35.63636308458379,-117.66969797596973,698.63
131,good,35.636272955876855,-117.66969829481333,698.74
132,good,35.63617381429322,-117.6696986455413,698.78
133,good,35.63608368558083,-117.66969896438492,698.77
134,good,35.63599355686843,-117.66969928322854,698.78
135,good,35.635903428156034,-117.66969960207217,698.77
136,good,35.63581329944364,-117.66969992091579,698.77
137,good,35.63571415785327,-117.66970027164379,698.87
138,good,35.63562402913412,-117.66970059048742,699.02
139,good,35.63553390041497,-117.66970090933107,699.2
140,good,35.635443771695826,-117.66970122817472,699.31
141,good,35.635353643074886,-117.66970158533171,699.45
142,good,35.635254501700906,-117.6697020207448,699.52
143,good,35.6351643731791,-117.66970241657488,699.62
144,good,35.635074244657304,-117.66970281240496,699.63
145,good,35.63498411625279,-117.6697032374876,699.74
146,good,35.634884976194485,-117.66970400103936,699.76
147,good,35.63479484886876,-117.66970469517733,699.73
148,good,35.634704721543024,-117.66970538931531,699.72
149,good,35.6346145942173,-117.66970608345328,699.66
150,good,35.634524466377464,-117.66970666529993,699.66
151,good,35.634425325509504,-117.66970725200359,699.66
152,good,35.63433519744772,-117.66970778537055,699.67
153,good,35.63424506938594,-117.6697083187375,699.56
154,good,35.634154941324155,-117.66970885210446,699.56
155,good,35.634064813256984,-117.66970938547146,699.51
156,good,35.633965672381606,-117.66970997217516,699.5
157,good,35.633875544313085,-117.66971050554216,699.4
158,good,35.63378541624456,-117.66971103890916,699.41
159,good,35.633695288176035,-117.66971157227616,699.42
160,good,35.633605160120354,-117.6697121109479,699.42
161,good,35.63350601926069,-117.66971270414001,699.37
162,good,35.633415891206454,-117.66971324340555,699.37
163,good,35.633325763152214,-117.66971378267111,699.37
164,good,35.633235635097975,-117.66971432193667,699.36
165,good,35.63314550704374,-117.66971486120222,699.32
166,good,35.633046366184075,-117.66971545439434,699.32
167,good,35.632956238129836,-117.66971599365989,699.34
168,good,35.63286611005706,-117.66971652993568,699.37
169,good,35.63277598197192,-117.66971706421889,699.41
170,good,35.63267684107826,-117.66971765193041,699.5
171,good,35.63258671299312,-117.66971818621361,699.53
172,good,35.632496584907976,-117.66971872049682,699.62
173,good,35.632406456822835,-117.66971925478003,699.78
174,good,35.632316328737694,-117.66971978906324,699.78
175,good,35.63221718784404,-117.66972037677476,700.0
176,good,35.63212706015364,-117.66972100305738,700.12
177,good,35.63203693256146,-117.66972165222923,700.2
178,good,35.631946804969274,-117.66972230140108,700.09
179,good,35.631856677377094,-117.66972295057295,700.12
180,good,35.63175753702569,-117.66972366466199,700.2
181,good,35.63166740943351,-117.66972431383385,700.2
182,good,35.63157728183779,-117.66972496300174,700.26
183,good,35.6314871542368,-117.6697256121637,700.27
184,good,35.63139702663581,-117.66972626132568,700.27
185,good,35.631297886274716,-117.66972697540385,700.31
186,good,35.631207758673725,-117.66972762456581,700.36
187,good,35.63111763107273,-117.66972827372778,700.46
188,good,35.63102750347173,-117.66972892288973,700.47
189,good,35.63092836310131,-117.66972963695561,700.57
190,good,35.630838235491844,-117.6697302861064,700.57
191,good,35.63074810788238,-117.66973093525719,700.67
192,good,35.630657980272915,-117.66973158440798,700.67
193,good,35.630567852663454,-117.66973223355878,700.67
194,good,35.63046871229131,-117.6697329476063,700.67
195,good,35.63037858467333,-117.6697335966665,700.67
196,good,35.63028845705534,-117.6697342457267,700.67
197,good,35.630198329437356,-117.66973489478688,700.67
198,good,35.63010820181937,-117.66973554384708,700.67
199,good,35.63000906143959,-117.6697362578133,700.67
200,good,35.629918933777404,-117.66973689797538,700.67
201,good,35.629828806013535,-117.66973751766444,700.68
202,good,35.629738678249666,-117.66973813735349,700.67
203,good,35.6296485504858,-117.66973875704254,700.61
204,good,35.62954940994554,-117.6697394387005,700.57
205,good,35.62945928218167,-117.66974005838955,700.57
206,good,35.62936915422765,-117.66974063328848,700.57
207,good,35.62927902599252,-117.66974114196832,700.57
208,good,35.62918889775737,-117.66974165064816,700.57
209,good,35.629089756698725,-117.66974221019599,700.57
210,good,35.62899962846359,-117.66974271887584,700.61
211,good,35.628909500228445,-117.66974322755567,700.65
212,good,35.62881937204932,-117.66974375169593,700.61
213,good,35.62872023111291,-117.66974434498634,700.57
214,good,35.62863010298889,-117.66974488434127,700.57
215,good,35.62853997486488,-117.6697454236962,700.57
216,good,35.62844984674087,-117.66974596305111,700.57
217,good,35.628359718616075,-117.66974650240535,700.57
218,good,35.628260577671476,-117.66974709568842,700.57
219,good,35.628170449540015,-117.66974763503667,700.55
220,good,35.628080321408554,-117.66974817438492,700.55
221,good,35.62799019327709,-117.66974871373317,700.55
222,good,35.62790006514564,-117.66974925308142,700.55
223,good,35.62780092447709,-117.66974991215169,700.55
224,good,35.62771079668858,-117.66975053322658,700.55
225,good,35.62762066890007,-117.66975115430148,700.58
226,good,35.627530541111554,-117.66975177537638,700.57
227,good,35.62744041332304,-117.66975239645129,700.57
228,good,35.627341272755686,-117.66975307963367,700.55
229,good,35.627251144963125,-117.66975370135425,700.55
230,good,35.62716101717014,-117.66975432314223,700.58
231,good,35.62707088937716,-117.6697549449302,700.66
232,good,35.62697174880488,-117.66975562889698,700.65
233,good,35.62688162101189,-117.66975625068496,700.59
234,good,35.626791493226335,-117.66975687489418,700.78
235,good,35.62670136544803,-117.6697575014675,700.77
236,good,35.62661123766973,-117.66975812804083,700.7
237,good,35.62651209711359,-117.66975881727149,700.64
238,good,35.62642196933528,-117.66975944384481,700.44
239,good,35.626331841561424,-117.66976007153853,700.35
240,good,35.62624171382489,-117.66976070863682,700.23
241,good,35.62615158608836,-117.66976134573508,700.03
242,good,35.626052445578175,-117.6697620465432,699.87
243,good,35.62596231784164,-117.66976268364147,699.65
244,good,35.625872190105106,-117.66976332073975,699.16
245,good,35.62578206220429,-117.66976392271725,698.74
246,good,35.62569193423537,-117.66976451013495,698.68
247,good,35.62559279346956,-117.66976515629443,698.74
248,good,35.62550266550063,-117.66976574371215,698.82
249,good,35.625412537531716,-117.66976633112985,698.84
250,good,35.62532244520254,-117.66976846813373,698.85
251,good,35.6252324331683,-117.66977409629295,698.84
252,good,35.625133419930634,-117.6697802872681,698.83
253,good,35.62504340789639,-117.66978591542731,698.79
254,good,35.62495339586215,-117.66979154358654,698.79
255,good,35.624863383827915,-117.66979717174576,698.73
256,good,35.624764458889764,-117.66978958582924,698.72
257,good,35.62467453008899,-117.66978222752579,698.71
258,good,35.624584601288205,-117.66977486922234,698.71
259,good,35.62449455125806,-117.66977252093524,698.64
260,good,35.624404424498934,-117.66977334360787,698.53
261,good,35.62431429869653,-117.66977430470034,698.61
262,good,35.624233186017904,-117.66977524847202,698.52
263,good,35.62414306081856,-117.66977629710722,698.51
264,good,35.62406194813763,-117.66977724087893,698.51
265,good,35.6239808354549,-117.66977818465065,698.43
266,good,35.62389071025187,-117.6697792332859,698.43
267,good,35.62380959756914,-117.66978017705762,698.31
268,good,35.623719472362474,-117.66978122568679,698.2
269,good,35.62363835967516,-117.66978216945084,698.12
